Signe,,,,,,,Informations,,,,,Validation,,,,,,Traitement vidéo,,,,,,
Domaine,Sous-domaine,Mot,N°ID,N° Signe,Définition,Explication,Date,Nom,Prénom,Origine,Version,Format,Clarté,Total,Remarques,,,Téléchargé,Monté,Miniature,YouTube,Site Web,Lien YouTube,
Informatique,Algorithmique,Débogage,1,1,non,non,15/12/2017,,,Séminaire,mp4,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,oui,https://youtu.be/JfaMVjDwFa8,
Informatique,Algorithmique,Ordonnancement,2,1,non,non,15/12/2017,,,Séminaire,mp4,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,oui,https://youtu.be/f4dZizP-8_o,
Informatique,Algorithmique,Thread,3,1,non,non,15/12/2017,,,Séminaire,mp4,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/UA00dCHkF-Q,
Chimie,Analytique,Spectromètre de masse,4,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/LTSTHkMN4GY,
Physique,Classique,Aimant,5,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,oui,https://youtu.be/ASuaVlK8NIQ,
Physique,Classique,Aimant,6,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/_xDcISJUzb8,
Physique,Classique,Champ magnétique,7,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/1MivpbvXvbA,
Physique,Classique,Champ magnétique,8,2,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x ,,,oui,oui,oui,oui,non,https://youtu.be/FsWHI3iGseg,
Sciences de la Vie,Botanique,Photosynthèse,9,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,non,https://youtu.be/6LNU-h_I4js,
Sciences de la Vie,Biologie Marine,Phytoplancton,10,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,oui,https://youtu.be/RktFxAOMCNQ,
Sciences de la Vie,Génétique,Phénotype,11,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,non,https://youtu.be/Tz_8d-1KCGw,
Environnement,Géologie,Roche sédimentaire,12,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/ynIIqr9ULo0,
Mathématiques,Statistiques/Probabilités,Echantillon,13,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Manque l'explication,,,oui,oui,oui,oui,oui,https://youtu.be/_qgtBpofys4,
Environnement,Géologie,Erosion,14,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/RWXOP0h0beE,
Environnement,Géologie,Roche magmatique,15,1,oui,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/sNcz3u9oHk0,
Environnement,Géologie,Roche métamorphique,16,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/MMRBx_ssti4,
Mathématiques,Algèbre,Bijectif,17,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/XxFeccTrGis,
Mathématiques,Algèbre,Injectif,18,1,non,oui,15/12/2017,,,Séminaire,mp4,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/pg1UX1tiN0Q,
Mathématiques,Algèbre,Surjectif,19,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/EapkloiuNVI,
Mathématiques,Analyse,Régularité,20,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/8ZGRdvkxPnI,
Mathématiques,Analyse,Continuité,21,1,oui,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,à vérifier,https://youtu.be/SolThtbsXv8,
Mathématiques,Analyse,Linéaire,22,1,oui,oui,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/Q4LfEdnlL2M,
Mathématiques,Analyse,Monotonie,23,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/yndKpMasTGU,
Mathématiques,Analyse,Régréssion linéaire,24,1,oui,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/-J1rPi7L8fE,
Chimie,Générale,Gradient de concentration ,25,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/9EhJ6W59VGw,
Chimie,Générale,Soluté,26,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/Brhob3XRuo0,
Chimie,Générale,Corrosion,27,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/5aTvpw22Eew,
Chimie,Générale,Dissolution,28,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/72vZ5B0_eQs,
Sciences de la Vie,Biochimie,Enzyme,29,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,non,https://youtu.be/J1T8BAzlNJU,
Chimie,Générale,Oxydo-réduction,30,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/TN2ucQjpPwU,
Chimie,Générale,Ligand,31,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/9O8GdbRKulA,
Physique,Mécanique  ,Système,32,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,,,,oui,oui,oui,oui,oui,https://youtu.be/WHaFYnciD7g,
Technologie,Aéronautique,Aéronautique,33,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Vidéo trop court,,,oui,oui,oui,oui,oui,https://youtu.be/6IsY0fbqvLA,
Physique,Mécanique  ,Poussée d'Archimède,34,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/rxWX9k1m_fw,
Santé,Anatomie,Côlon,35,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/rkq4TEI7G94,
Santé,Anatomie,Côlon,36,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/SEfnYltQkIA,
Santé,Anatomie,Neurone,37,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/UM-aXukG3g4,
Santé,Anatomie,Neurone,38,3,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/RcAOEMmhc0Y,
Santé,Anatomie,Thyroïde,39,1,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/pzK93u_2nGg,
Santé,Anatomie,Thyroïde,40,2,non,non,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM x,,,oui,oui,oui,oui,non,https://youtu.be/MHbywoVbxJA,
Chimie,Analytique,Chromatographie,41,1,non,oui,15/12/2017,,,Séminaire,mov,1,1,2,Refait par STIM+ part de Laure,,,oui,oui,oui,oui,non,https://youtu.be/82HFX8ipL2s,
